id|Perfume|Brand|Country|Gender|Rating Value|Rating Count|Year|Top|Middle|Base|Perfumer1|Perfumer2|mainaccord1|mainaccord2|mainaccord3|mainaccord4|mainaccord5
23515|le-male-x-mas-edition-2020|jean-paul-gaultier|France|men|4,53|53|2020|lavender, cardamom, mint, artemisia, bergamot|cinnamon, orange blossom, caraway|sandalwood, vanilla, tonka bean, cedar, amber|francis kurkdjian|unknown|warm spicy|aromatic|woody|vanilla|lavender
49859|aqaba oud black|Aqaba|unknown|men|5,0|1|2017|unknown|unknown|unknown|unknown|unknown|oud|fresh spicy|unknown|unknown|unknown
38214|jeans couture glam|Versace|unknown|women|3,53|180|2003|Aldehydes, Pink Pepper and Petitgrain|Fuchsia, Butterfly Orchid and Rose|Cedar, Musk and Amber|Francis Kurkdjian|unknown|floral|sweet|musky|aldehydic|woody
3794|oh-ma-biche|lolita-lempicka|France|women|3,7|338|2019|tangerine, grapefruit, sicilian mandarin, pepper|champagne, bellini, white peach|white musk|maïa lernout|unknown|citrus|fruity|aldehydic|sweet|champagne
53400|les garconnes pompon gardenia|Crazylibellule and the Poppies|unknown|women|4,56|18|0|unknown|unknown|unknown|unknown|unknown|white floral|ozonic|aquatic|tobacco|lactonic
32441|flower by kenzo l'elixir|Kenzo|unknown|women|4,33|1857|2015|Raspberry and Mandarin Orange|Bulgarian Rose and Orange Blossom|Praline, Bourbon Vanilla and Powdery Notes|Alberto Morillas|unknown|sweet|powdery|fruity|vanilla|rose
17038|aqua-allegoria-mandarine-basilic|guerlain|France|women|4,12|6937|2007|clementine, bitter orange, orange blossom, green tea, ivy|mandarin orange, basil, chamomile, peony|sandalwood, amber|marie salamagne|unknown|citrus|fresh spicy|green|aromatic|fresh
33649|pur oud|Louis Vuitton|unknown|unisex|3,21|133|2021|unknown|unknown|unknown|Jacques Cavallier|unknown|oud|unknown|unknown|unknown|unknown
83478|manglar|Fueguia 1833|unknown|unisex|4,0|18|2019|unknown|unknown|unknown|Julian Bedel|unknown|woody|aromatic|earthy|amber|fresh spicy
39276|fruit de noel|Yves Rocher|unknown|women|3,62|132|2011|unknown|unknown|unknown|unknown|unknown|citrus|almond|sweet|fruity|nutty
